objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
item1,goca54.jpg,,GOCA,image/jpg,GOCA or Gallaries of Contemporary Art is located in the Ent Center building located on the UCCS campus,,,,,,,,,,,,,,,,,,,,
item2,goca20.jpg,,GOCA,image/jpg,"They exhibit contemporary artists in thier two exhibit spaces, which are the Marie Walsh Gallery and the Project space",,,,,,,,,,,,,,,,,,,,
item3,goca30.jpg,,GOCA,image/jpg,They also have a simi-perminite out door artwork collection that is placed around the Ent Center building,,,,,,,,,,,,,,,,,,,,
item4,penrose3.jpg,,Penrose Heritage Museum,image/jpg,This museum exhibits the collection of artifacts that tell the story of Spencer and Julie Penrose's life ,,,,,,,,,,,,,,,,,,,,
item5,penrose27.jpg,,Penrose Heritage Museum,image/jpg,The museum exhibits artifacts that tell the story of the Pikes Peak International Hill Climb on an incline that makes the visitors feel like they are also climbing up Pikes Peak,,,,,,,,,,,,,,,,,,,,
item6,penrose17.jpg,,Penrose Heritage Museum,image/jpg,They also exhibit artifacts like antic cars and others from the livs of Spencer and Julie Penrose,,,,,,,,,,,,,,,,,,,,
item7,pioneers1.jpg,,Colorado Springs Pioneers Museum,image/jpg,The Colorado Springs Pineers Museum has exhibits that tell the story of the Pikes Peak Region,,,,,,,,,,,,,,,,,,,,
item8,pioneers2.jpg,,Colorado Springs Pioneers Museum,image/jpg,"For example, The City of Sunshine is an exhbition on Coloraodo's past as a place to go to cure tuberculosis ",,,,,,,,,,,,,,,,,,,,
item9,shrine7.jpg,,Will Rogers Shrine of the Sun,image/jpg,The Will Rogers Shrine was built byS pencer and Julie Penrose ,,,,,,,,,,,,,,,,,,,,
item10,shrine9.jpg,,Will Rogers Shrine of the Sun,image/jpg,There is also a small musuem on the property that tells the story of the Shrine and Spencer and Julie Penrose's life. Tickets are purchased through the Chyanne Mountain Zoos website or at the entrance to the Zoo,,,,,,,,,,,,,,,,,,,,
item11,ww25.jpg,,National Museum of World War II Aviation,image/jpg,The National Nuseum of World War II Anication is a musuem that exhibits working historical planes from World War 2,,,,,,,,,,,,,,,,,,,,
item12,ww24.jpg,,National Museum of World War II Aviation,image/jpg,They also exhibit storys and artifacts from real soilders who faught during the war ,,,,,,,,,,,,,,,,,,,,
item13,ww26.jpg,,National Museum of World War II Aviation,image/jpg,They not only have planes but also other machinery and technollogy from both World Wars,,,,,,,,,,,,,,,,,,,,
item14,westernmuseum33.jpg,,Western Museum of Mining & Industry,image/jpg,"The Western Museum of Minning and Industry exhibits artifacts related to minning, THis is a Cornish Beam Engine",,,,,,,,,,,,,,,,,,,,
item15,westernmuseum1.jpg,,Western Museum of Mining & Industry,image/jpg,"This is an example of one of thier exhibit spaces, Assay Rooms are places that would find how much of the minnerals found in the mine are pure",,,,,,,,,,,,,,,,,,,,
item16,westernmuseum9.jpg,,Western Museum of Mining & Industry,image/jpg,Fluorescent Minerals,,,,,,,,,,,,,,,,,,,,
item17,westernmuseum10.jpg,,Western Museum of Mining & Industry,image/jpg,Panning For Gold,,,,,,,,,,,,,,,,,,,,

item18,westernmuseum21.jpg,,Western Museum of Mining & Industry,image/jpg,Skinner Automatic Steam Engine & Westinghouse D.C. Generator,,,,,,,,,,,,,,,,,,,,

